,name,label
6227,ff1010bird\ff1010bird_wav\wav\not_bird\57670.wav,1
5775,ff1010bird\ff1010bird_wav\wav\not_bird\45436.wav,1
7465,ff1010bird\ff1010bird_wav\wav\not_bird\91288.wav,1
3838,ff1010bird\ff1010bird_wav\wav\not_bird\157864.wav,1
637,ff1010bird\ff1010bird_wav\wav\bird\157899.wav,0
6938,ff1010bird\ff1010bird_wav\wav\not_bird\74912.wav,1
6809,ff1010bird\ff1010bird_wav\wav\not_bird\72044.wav,1
2296,ff1010bird\ff1010bird_wav\wav\not_bird\113337.wav,1
6181,ff1010bird\ff1010bird_wav\wav\not_bird\56956.wav,1
3960,ff1010bird\ff1010bird_wav\wav\not_bird\160540.wav,1
6061,ff1010bird\ff1010bird_wav\wav\not_bird\55168.wav,1
6294,ff1010bird\ff1010bird_wav\wav\not_bird\59176.wav,1
1929,ff1010bird\ff1010bird_wav\wav\bird\99233.wav,0
3321,ff1010bird\ff1010bird_wav\wav\not_bird\145486.wav,1
5084,ff1010bird\ff1010bird_wav\wav\not_bird\195487.wav,1
3786,ff1010bird\ff1010bird_wav\wav\not_bird\157391.wav,1
3699,ff1010bird\ff1010bird_wav\wav\not_bird\15528.wav,1
3518,ff1010bird\ff1010bird_wav\wav\not_bird\149925.wav,1
3464,ff1010bird\ff1010bird_wav\wav\not_bird\147946.wav,1
1719,ff1010bird\ff1010bird_wav\wav\bird\76441.wav,0
144,ff1010bird\ff1010bird_wav\wav\bird\111019.wav,0
6876,ff1010bird\ff1010bird_wav\wav\not_bird\73276.wav,1
6208,ff1010bird\ff1010bird_wav\wav\not_bird\57056.wav,1
6510,ff1010bird\ff1010bird_wav\wav\not_bird\64168.wav,1
6435,ff1010bird\ff1010bird_wav\wav\not_bird\62891.wav,1
1139,ff1010bird\ff1010bird_wav\wav\bird\32311.wav,0
5316,ff1010bird\ff1010bird_wav\wav\not_bird\30168.wav,1
4212,ff1010bird\ff1010bird_wav\wav\not_bird\16629.wav,1
5543,ff1010bird\ff1010bird_wav\wav\not_bird\38887.wav,1
2153,ff1010bird\ff1010bird_wav\wav\not_bird\107639.wav,1
3857,ff1010bird\ff1010bird_wav\wav\not_bird\158593.wav,1
6718,ff1010bird\ff1010bird_wav\wav\not_bird\69305.wav,1
3013,ff1010bird\ff1010bird_wav\wav\not_bird\132945.wav,1
3743,ff1010bird\ff1010bird_wav\wav\not_bird\156191.wav,1
880,ff1010bird\ff1010bird_wav\wav\bird\182049.wav,0
2016,ff1010bird\ff1010bird_wav\wav\not_bird\102871.wav,1
71,ff1010bird\ff1010bird_wav\wav\bird\104733.wav,0
7076,ff1010bird\ff1010bird_wav\wav\not_bird\78390.wav,1
6535,ff1010bird\ff1010bird_wav\wav\not_bird\64209.wav,1
889,ff1010bird\ff1010bird_wav\wav\bird\182696.wav,0
4791,ff1010bird\ff1010bird_wav\wav\not_bird\185140.wav,1
920,ff1010bird\ff1010bird_wav\wav\bird\184821.wav,0
704,ff1010bird\ff1010bird_wav\wav\bird\164191.wav,0
