,name,label
6798,warblrb10k_public\warblrb10k_public_wav\wav\bird\cb9c73aa-49ae-4de5-a46b.wav,0
2493,warblrb10k_public\warblrb10k_public_wav\wav\bird\175f5db0-f36a-41f7-be65.wav,0
2403,warblrb10k_public\warblrb10k_public_wav\wav\bird\1372a232-4802-453d-adbd.wav,0
5185,warblrb10k_public\warblrb10k_public_wav\wav\bird\894fa4c7-fc14-4f0d-881e.wav,0
5797,warblrb10k_public\warblrb10k_public_wav\wav\bird\a23f3fb8-0d9d-4406-ad86.wav,0
3777,warblrb10k_public\warblrb10k_public_wav\wav\bird\4c4db22e-4cf0-491a-9f3e.wav,0
1159,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\9dd9a9ed-e3dc-4ba6-87a5.wav,1
6279,warblrb10k_public\warblrb10k_public_wav\wav\bird\b6f21d79-16d1-4427-8d2b.wav,0
418,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\395e22d9-9148-4c84-b622.wav,1
4183,warblrb10k_public\warblrb10k_public_wav\wav\bird\5d5fe074-4b88-45dc-8e56.wav,0
3728,warblrb10k_public\warblrb10k_public_wav\wav\bird\4a38e30d-2690-4f57-bf4c.wav,0
444,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\3d7c086f-2373-4b36-a07e.wav,1
803,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\6eab000a-269e-49a5-b70e.wav,1
2728,warblrb10k_public\warblrb10k_public_wav\wav\bird\21bae055-ae1b-4093-8387.wav,0
6213,warblrb10k_public\warblrb10k_public_wav\wav\bird\b4575104-5ba3-48a9-844c.wav,0
2755,warblrb10k_public\warblrb10k_public_wav\wav\bird\22f3c2ac-3b5f-4ee9-a03b.wav,0
780,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\6bbbaba9-515a-421f-8a43.wav,1
3981,warblrb10k_public\warblrb10k_public_wav\wav\bird\551cdabf-a970-4ced-a400.wav,0
6434,warblrb10k_public\warblrb10k_public_wav\wav\bird\bd441cb5-78b7-4e8c-9cb8.wav,0
3452,warblrb10k_public\warblrb10k_public_wav\wav\bird\3f7521d3-29ee-4333-a4b9.wav,0
2283,warblrb10k_public\warblrb10k_public_wav\wav\bird\0dd0b7bd-4fb7-48da-8334.wav,0
6506,warblrb10k_public\warblrb10k_public_wav\wav\bird\c02a0685-c873-4242-90cd.wav,0
5244,warblrb10k_public\warblrb10k_public_wav\wav\bird\8b7dfa4d-d213-44d4-87ff.wav,0
7193,warblrb10k_public\warblrb10k_public_wav\wav\bird\dc2e7698-b094-4a86-92e6.wav,0
6344,warblrb10k_public\warblrb10k_public_wav\wav\bird\b9e5c244-d615-48b7-b7a4.wav,0
2863,warblrb10k_public\warblrb10k_public_wav\wav\bird\2750b48a-fc23-4a47-871e.wav,0
1967,warblrb10k_public\warblrb10k_public_wav\wav\bird\0090e1d1-1987-49f2-a14f.wav,0
4620,warblrb10k_public\warblrb10k_public_wav\wav\bird\70629c4e-9f06-47a4-8918.wav,0
3378,warblrb10k_public\warblrb10k_public_wav\wav\bird\3c4ebddb-b5f3-4cda-a4cb.wav,0
76,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\0b1d9726-8913-424c-9339.wav,1
5461,warblrb10k_public\warblrb10k_public_wav\wav\bird\945908fc-2ac2-42fb-b7ff.wav,0
4574,warblrb10k_public\warblrb10k_public_wav\wav\bird\6df8a536-c66e-4c7a-8f33.wav,0
6095,warblrb10k_public\warblrb10k_public_wav\wav\bird\afcee2c9-8837-4666-9347.wav,0
7146,warblrb10k_public\warblrb10k_public_wav\wav\bird\d9ea861d-b700-43aa-bfa9.wav,0
57,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\07a39a63-19ee-4ab9-b787.wav,1
3826,warblrb10k_public\warblrb10k_public_wav\wav\bird\4e3ec0e9-1f12-42a6-b972.wav,0
6248,warblrb10k_public\warblrb10k_public_wav\wav\bird\b5b9dcad-6e1f-4f1d-a096.wav,0
2129,warblrb10k_public\warblrb10k_public_wav\wav\bird\07ffd79e-14f2-424b-9ea9.wav,0
834,warblrb10k_public\warblrb10k_public_wav\wav\not_bird\7238f21e-d2af-42ce-97c2.wav,1
7663,warblrb10k_public\warblrb10k_public_wav\wav\bird\f1d3cf81-348b-4c21-af82.wav,0
2193,warblrb10k_public\warblrb10k_public_wav\wav\bird\0a83aa66-db06-49e6-b477.wav,0
2123,warblrb10k_public\warblrb10k_public_wav\wav\bird\07c1a691-f193-4757-934d.wav,0
5429,warblrb10k_public\warblrb10k_public_wav\wav\bird\9311bc6f-9b70-4d9e-9d27.wav,0
6019,warblrb10k_public\warblrb10k_public_wav\wav\bird\ac941900-d00b-4995-9779.wav,0
5138,warblrb10k_public\warblrb10k_public_wav\wav\bird\876f588a-d9a4-4f98-84bd.wav,0
5346,warblrb10k_public\warblrb10k_public_wav\wav\bird\8f8cbcc9-35f4-4368-8a66.wav,0
7938,warblrb10k_public\warblrb10k_public_wav\wav\bird\fd913f68-179b-44ff-b612.wav,0
6143,warblrb10k_public\warblrb10k_public_wav\wav\bird\b174f2ba-e43f-4f56-914e.wav,0
